title,budget,popularity,release_date,revenue,release_year,budget_milhoes,revenue_milhoes
Bitch Hug,0,0.273637,2012-10-19,0.0,2012,0.0,0.0
Caprice,0,6.311574,1967-04-18,0.0,1967,0.0,0.0
The Internet's Own Boy: The Story of Aaron Swartz,0,6.114898,2014-06-27,48911.0,2014,0.0,0.05
Anita,0,0.526905,2013-03-25,0.0,2013,0.0,0.0
8 Days to Premiere,0,0.07436,2008-01-25,0.0,2008,0.0,0.0
A Mother's Courage,0,0.04013,2009-01-01,0.0,2009,0.0,0.0
112 Weddings,0,0.362159,2014-06-13,0.0,2014,0.0,0.0
A Fine Pair,0,0.060415,1968-09-27,0.0,1968,0.0,0.0
A Kid for Two Farthings,0,0.701604,1956-01-20,0.0,1956,0.0,0.0
A Woman's Secret,0,0.335752,1949-03-05,0.0,1949,0.0,0.0
The Deadly Trap,0,0.382406,1971-06-09,0.0,1971,0.0,0.0
Transformers: Age of Extinction,210000000,18.495599,2014-06-25,1091405097.0,2014,210.0,1091.41
Metalhead,0,2.244867,2013-10-11,0.0,2013,0.0,0.0
Russian Roulette,1250000,0.998533,1975-08-20,0.0,1975,1.25,0.0
Attack of the 50 Ft. Woman,0,1.554208,1993-12-11,0.0,1993,0.0,0.0
August,0,1.547762,2011-06-09,0.0,2011,0.0,0.0
Our Man In Marrakesh,0,0.797557,1966-07-22,0.0,1966,0.0,0.0
Belle Starr,0,0.974261,1941-09-12,0.0,1941,0.0,0.0
Belle Starr,0,0.120938,1980-03-31,0.0,1980,0.0,0.0
Finding Vivian Maier,0,7.035082,2014-03-28,1503616.0,2014,0.0,1.5
Jack Strong,3335702,1.963912,2014-02-07,0.0,2014,3.34,0.0
Jennifer,0,0.468194,1978-05-13,0.0,1978,0.0,0.0
Perfect Sisters,0,5.654098,2014-04-08,0.0,2014,0.0,0.0
Belly 2: Millionaire Boyz Club,0,1.108885,2008-08-12,0.0,2008,0.0,0.0
Beware of Pity,0,0.437779,1946-07-22,0.0,1946,0.0,0.0
Frank,0,5.847845,2014-05-02,645186.0,2014,0.0,0.65
I Belong,0,0.1188,2012-09-14,0.0,2012,0.0,0.0
Mama's Boy,0,1.750448,2007-12-14,0.0,2007,0.0,0.0
Sound of Redemption: The Frank Morgan Story,0,0.043929,2016-07-15,0.0,2016,0.0,0.0
In Bloom,0,0.966462,2013-02-10,0.0,2013,0.0,0.0
Very Good Girls,0,12.32849,2013-01-22,0.0,2013,0.0,0.0
Joe's Palace,0,1.502651,2007-11-04,0.0,2007,0.0,0.0
Day of the Animals,1200000,4.34926,1977-05-13,0.0,1977,1.2,0.0
Savage Beasts,0,0.350577,1984-01-11,0.0,1984,0.0,0.0
Happy Birthday to a Beautiful Woman,0,0.009437,2012-09-08,0.0,2012,0.0,0.0
They Came Together,0,9.139015,2014-06-27,0.0,2014,0.0,0.0
Questioning Darwin,0,0.020194,2014-02-10,0.0,2014,0.0,0.0
Honey,0,2.179796,2013-05-01,0.0,2013,0.0,0.0
The Son-Daughter,0,0.140661,1932-12-23,0.0,1932,0.0,0.0
Planes: Fire & Rescue,50000000,7.579855,2014-07-17,151165787.0,2014,50.0,151.17
Black Gunn,0,1.786885,1972-12-20,0.0,1972,0.0,0.0
"Shoot First, Die Later",0,1.061447,1974-07-12,0.0,1974,0.0,0.0
"So Evil, So Young",0,0.001662,1963-01-01,0.0,1963,0.0,0.0
Elaine Stritch: Shoot Me,0,1.024055,2013-04-09,0.0,2013,0.0,0.0
Wild Oranges,0,0.135713,1924-01-20,0.0,1924,0.0,0.0
Stuart: A Life Backwards,0,4.815961,2007-09-23,0.0,2007,0.0,0.0
The Mortician,0,2.704503,2011-02-15,0.0,2011,0.0,0.0
Not Another Not Another Movie,4,0.823401,2011-10-17,0.0,2011,0.0,0.0
Mrs. Brown's Boys D'Movie,5900000,1.840891,2014-06-27,23000000.0,2014,5.9,23.0
Sunburn,0,1.432915,1979-08-10,0.0,1979,0.0,0.0
Francis,0,2.67732,1950-01-01,0.0,1950,0.0,0.0
The Gunfighter,0,1.812848,2014-03-21,0.0,2014,0.0,0.0
Let the Fire Burn,0,0.666362,2013-10-02,0.0,2013,0.0,0.0
Tammy,20000000,7.359522,2014-07-02,100525432.0,2014,20.0,100.53
Kabhi Haan Kabhi Naa,0,0.938742,1993-01-01,0.0,1993,0.0,0.0
Radio Free Albemuth,3600000,1.91768,2010-01-01,0.0,2010,3.6,0.0
The Friends,0,0.00022,1971-09-07,0.0,1971,0.0,0.0
Le pélican,0,0.000115,1974-02-06,0.0,1974,0.0,0.0
Colorful,0,8.732753,2010-08-21,0.0,2010,0.0,0.0
The Babadook,2000000,8.832788,2014-05-22,6676471.0,2014,2.0,6.68
Mystery on Monster Island,0,0.98068,1981-04-03,0.0,1981,0.0,0.0
Killer Legends,0,2.243927,2014-07-01,0.0,2014,0.0,0.0
Black Moon,0,0.336935,1934-06-15,0.0,1934,0.0,0.0
Blue,0,0.4644,2002-09-09,0.0,2002,0.0,0.0
Blue,0,0.088669,2003-02-07,0.0,2003,0.0,0.0
Brother Rat,0,0.174691,1938-10-29,0.0,1938,0.0,0.0
White God,2200000,6.313465,2014-06-12,282358.0,2014,2.2,0.28
Whiplash,3300000,64.29999,2014-10-10,13092000.0,2014,3.3,13.09
Luther,0,1.170857,1974-01-21,0.0,1974,0.0,0.0
Gone Girl,61000000,154.801009,2014-10-01,369330363.0,2014,61.0,369.33
Brother's Justice,0,0.201927,2010-10-22,0.0,2010,0.0,0.0
Willie and Phil,0,0.3265,1980-08-15,0.0,1980,0.0,0.0
The Angriest Man in Brooklyn,0,9.911949,2014-05-23,0.0,2014,0.0,0.0
Life Itself,0,7.615552,2014-07-04,0.0,2014,0.0,0.0
Brothers,0,0.007073,2011-03-18,0.0,2011,0.0,0.0
Ride the Divide,0,0.008414,2010-04-15,0.0,2010,0.0,0.0
Finding Fela,0,0.776164,2014-08-01,0.0,2014,0.0,0.0
Duplicate,0,0.936806,1998-05-08,0.0,1998,0.0,0.0
Missing William,0,0.529802,2014-03-07,0.0,2014,0.0,0.0
Favor,0,0.765634,2013-04-05,0.0,2013,0.0,0.0
Dogs,0,0.058682,1976-11-11,0.0,1976,0.0,0.0
A mí las mujeres ni fu ni fa,0,0.016901,1971-07-01,0.0,1971,0.0,0.0
The Sunfish,0,1.630916,2014-01-27,0.0,2014,0.0,0.0
Eye of the Cat,0,0.107612,1969-06-18,0.0,1969,0.0,0.0
Massacre in Dinosaur Valley,0,2.123816,1985-01-01,0.0,1985,0.0,0.0
Chronicle of a Disappearance,0,0.361472,1996-01-01,0.0,1996,0.0,0.0
Dawn of the Planet of the Apes,170000000,75.385211,2014-06-26,710644566.0,2014,170.0,710.64
The Great Magician,15000000,1.542334,2011-12-22,0.0,2011,15.0,0.0
The Ultimate Warrior,0,6.673398,1975-01-01,0.0,1975,0.0,0.0
Ra.One,0,5.251132,2011-10-24,0.0,2011,0.0,0.0
Gun Woman,0,2.237762,2014-02-28,0.0,2014,0.0,0.0
A Child in the Crowd,0,0.20256,1976-06-04,0.0,1976,0.0,0.0
Le Rebelle,0,0.065675,1980-11-12,0.0,1980,0.0,0.0
Watercolors,0,0.806932,2008-06-07,0.0,2008,0.0,0.0
The Battered Bastards of Baseball,0,1.531619,2014-01-20,0.0,2014,0.0,0.0
No One Lives,2900000,7.202832,2013-03-09,74918.0,2013,2.9,0.07
Unraveled,0,0.212166,2012-04-13,0.0,2012,0.0,0.0
Buckskin Frontier,0,0.298715,1943-05-14,0.0,1943,0.0,0.0
Budz House,0,1.019489,2011-10-25,0.0,2011,0.0,0.0
Bullet,3000000,3.282908,2014-02-25,0.0,2014,3.0,0.0
Bullet for a Badman,0,1.623217,1964-09-01,0.0,1964,0.0,0.0
Bulletproof Salesman,0,0.003763,2008-03-10,0.0,2008,0.0,0.0
Miss Violence,0,3.285031,2013-09-09,0.0,2013,0.0,0.0
A Dispatch from Reuter's,0,0.682534,1940-10-19,0.0,1940,0.0,0.0
Bachelor Flat,0,0.002579,1962-01-12,0.0,1962,0.0,0.0
The Beast with a Million Eyes,23000,1.456121,1958-06-15,0.0,1958,0.02,0.0
The Strange One,0,0.013542,1957-04-12,0.0,1957,0.0,0.0
Pierre et Djemila,0,0.00273,1987-06-02,0.0,1987,0.0,0.0
Summer School,0,0.164734,1978-05-01,0.0,1978,0.0,0.0
Billy Two Hats,0,1.423976,1974-03-20,0.0,1974,0.0,0.0
Buffalo Bill,0,4.521805,1943-12-31,0.0,1943,0.0,0.0
Deliver Us from Evil,30000000,8.536777,2014-07-01,0.0,2014,30.0,0.0
If I Were You,0,2.37094,2013-03-15,0.0,2013,0.0,0.0
The Saratov Approach,0,0.600061,2013-10-09,0.0,2013,0.0,0.0
Jonestown: Paradise Lost,0,0.824387,2007-01-15,0.0,2007,0.0,0.0
Charlie's Country,0,0.912033,2013-10-12,0.0,2013,0.0,0.0
Finding Normal,0,1.001909,2013-05-18,0.0,2013,0.0,0.0
Margaret Thatcher: The Long Walk to Finchley,500,0.223236,2008-01-01,0.0,2008,0.0,0.0
And So It Goes,18000000,7.69684,2014-07-20,25312387.0,2014,18.0,25.31
Ju-on: The Beginning of the End,0,1.235132,2014-06-28,0.0,2014,0.0,0.0
Torment,0,2.764915,2013-10-11,0.0,2013,0.0,0.0
Healing,0,1.34155,2014-04-03,0.0,2014,0.0,0.0
Hellphone,0,1.748059,2007-03-28,0.0,2007,0.0,0.0
Premature,0,6.322381,2014-07-02,0.0,2014,0.0,0.0
The Brain,0,0.748217,1988-11-03,0.0,1988,0.0,0.0
The Severed Arm,0,0.505854,1973-01-01,0.0,1973,0.0,0.0
Bloodline,700000,0.061137,2011-12-09,0.0,2011,0.7,0.0
Unrated II: Scary as Hell,15000,0.061307,2011-02-26,0.0,2011,0.02,0.0
Air Panic,0,0.809425,2002-01-22,0.0,2002,0.0,0.0
Darkest Night,0,0.256166,2012-10-20,0.0,2012,0.0,0.0
Bluebeard,0,0.126284,1936-12-31,0.0,1936,0.0,0.0
Sex Tape,40000000,27.470696,2014-07-17,126069509.0,2014,40.0,126.07
Going Down in La-La Land,0,2.393033,2011-05-01,0.0,2011,0.0,0.0
Operation Ganymed,0,0.68213,1977-11-05,0.0,1977,0.0,0.0
Pinball Summer,0,0.018017,1980-06-27,0.0,1980,0.0,0.0
Ride Beyond Vengeance,0,0.999281,1966-05-09,0.0,1966,0.0,0.0
EMR,150000,0.882615,2004-01-01,0.0,2004,0.15,0.0
I Origins,0,11.901185,2014-07-18,336472.0,2014,0.0,0.34
Gunbuster vs Diebuster Aim for the Top! The GATTAI!! Movie,0,1.116784,2006-10-01,0.0,2006,0.0,0.0
The Front Line,10000000,4.13924,2011-07-20,0.0,2011,10.0,0.0
Wrestling For Jesus: The Tale of T-Money,0,0.084771,2011-01-01,0.0,2011,0.0,0.0
One Man Up,0,1.270431,2001-08-31,0.0,2001,0.0,0.0
The Purge: Anarchy,9000000,27.756026,2014-07-17,108782847.0,2014,9.0,108.78
Bullets For O'Hara,0,0.214007,1941-07-19,0.0,1941,0.0,0.0
Bundle of Joy,0,0.441986,1956-12-12,0.0,1956,0.0,0.0
Bush Christmas,0,0.249638,1947-07-28,0.0,1947,0.0,0.0
Words and Pictures,0,3.352204,2013-09-06,3346257.0,2013,0.0,3.35
Guardians of the Galaxy,170000000,53.291601,2014-07-30,773328629.0,2014,170.0,773.33
The Ghost Goes West,0,0.636497,1935-12-17,0.0,1935,0.0,0.0
The Nazi Officer's Wife,0,0.16285,2003-03-30,0.0,2003,0.0,0.0
10.5,20000000,5.536166,2004-05-02,0.0,2004,20.0,0.0
The Strange Color of Your Body's Tears,0,1.998366,2013-08-12,7182.0,2013,0.0,0.01
The Signal,4000000,8.536786,2014-03-15,600896.0,2014,4.0,0.6
The Ballroom,0,0.140747,2007-11-25,0.0,2007,0.0,0.0
Busses Roar,0,0.142022,1942-08-18,0.0,1942,0.0,0.0
But Not For Me,0,0.600459,1959-08-19,0.0,1959,0.0,0.0
Butcher Boys,0,1.65166,2013-09-06,0.0,2013,0.0,0.0
By Dawn's Early Light,0,0.062423,2001-04-15,0.0,2001,0.0,0.0
Jimmy's Hall,0,2.839854,2014-05-30,2606000.0,2014,0.0,2.61
Super Hero Party Clown,0,0.013359,2012-09-25,0.0,2012,0.0,0.0
Willow Creek,0,8.742454,2013-05-02,0.0,2013,0.0,0.0
The Expendables 3,90000000,14.753545,2014-08-04,206172544.0,2014,90.0,206.17
Gunday,0,2.380826,2014-02-14,0.0,2014,0.0,0.0
Goliyon Ki Raasleela Ram-Leela,0,6.034115,2013-11-15,32000000.0,2013,0.0,32.0
Ek Villain,0,2.424208,2014-06-27,0.0,2014,0.0,0.0
Kites,0,6.100998,2010-05-21,0.0,2010,0.0,0.0
Hercules,100000000,19.606895,2014-07-23,243400000.0,2014,100.0,243.4
Monty Python Live (Mostly),0,1.315493,2014-07-20,0.0,2014,0.0,0.0
Once My Mother,0,0.016301,2014-07-24,0.0,2014,0.0,0.0
Blood in the Mobile,0,0.306712,2010-11-29,0.0,2010,0.0,0.0
Hide Your Smiling Faces,0,1.602963,2014-03-25,0.0,2014,0.0,0.0
Paradise: Hope,0,2.340258,2013-02-08,6701.0,2013,0.0,0.01
Villa Amalia,0,0.729211,2009-04-08,0.0,2009,0.0,0.0
The Detective,0,0.809306,2007-09-25,0.0,2007,0.0,0.0
A Most Wanted Man,15000000,10.432407,2014-07-25,31554855.0,2014,15.0,31.55
Sky Murder,0,0.331435,1940-09-27,0.0,1940,0.0,0.0
Molly Maxwell,0,2.00514,2013-01-06,0.0,2013,0.0,0.0
Wish I Was Here,5500000,6.149295,2014-01-18,5483299.0,2014,5.5,5.48
Sandakan No. 8,0,1.030092,1974-11-02,0.0,1974,0.0,0.0
Sex in Chains,0,0.146181,1928-10-24,0.0,1928,0.0,0.0
Valley of the Dragons,0,0.210554,1961-10-31,0.0,1961,0.0,0.0
Coney Island,0,0.684674,1917-10-29,0.0,1917,0.0,0.0
Never Weaken,0,0.443542,1921-10-22,0.0,1921,0.0,0.0
Go for Sisters,0,1.519664,2013-11-08,0.0,2013,0.0,0.0
Playing with Love,0,6.543051,1977-05-17,0.0,1977,0.0,0.0
C.O.G.,0,3.320044,2013-09-20,0.0,2013,0.0,0.0
C'mon Man,0,0.402752,2012-06-26,0.0,2012,0.0,0.0
Julius Caesar,0,2.580637,2002-12-27,0.0,2002,0.0,0.0
Cafe,0,2.427612,2011-10-11,0.0,2011,0.0,0.0
Café Metropole,0,0.228565,1937-05-07,0.0,1937,0.0,0.0
The Wrath of Cain,0,0.161612,2010-11-16,0.0,2010,0.0,0.0
Lust for Love,0,7.000038,2014-02-07,0.0,2014,0.0,0.0
The Pursuit of Unhappiness,0,0.53039,2012-11-29,0.0,2012,0.0,0.0
Ella y el miedo,0,0.056538,1964-06-17,0.0,1964,0.0,0.0
Sorrow and Joy,0,2.185467,2013-09-25,0.0,2013,0.0,0.0
Fugitives,0,0.127155,2000-10-06,0.0,2000,0.0,0.0
Family United,0,2.629221,2013-09-13,0.0,2013,0.0,0.0
California Conquest,0,0.001859,1952-07-04,0.0,1952,0.0,0.0
Call Me Bwana,0,0.094405,1963-06-14,0.0,1963,0.0,0.0
Two Tars,0,0.570278,1928-11-03,0.0,1928,0.0,0.0
The Visitor,800000,3.035226,1979-03-22,0.0,1979,0.8,0.0
The Unholy Wife,0,0.190466,1957-06-24,0.0,1957,0.0,0.0
The Keeper,4000000,0.609043,2004-05-14,0.0,2004,4.0,0.0
Rasmus and the Vagabond,0,2.337524,1981-12-12,0.0,1981,0.0,0.0
The Stag,600000,9.208127,2013-09-10,0.0,2013,0.6,0.0
Finding Bliss,0,2.859237,2009-01-01,0.0,2009,0.0,0.0
Gracie's Choice,0,1.049284,2004-01-12,0.0,2004,0.0,0.0
Father and Guns,0,1.030775,2009-07-08,0.0,2009,0.0,0.0
Loser Takes All!,0,0.865623,2004-06-23,0.0,2004,0.0,0.0
Boogie,0,1.004781,2009-10-22,0.0,2009,0.0,0.0
Tables Turned on the Gardener,0,1.963421,1895-12-27,0.0,1895,0.0,0.0
Call of the Wild,0,1.409435,2009-06-12,270210.0,2009,0.0,0.27
Hellion,0,13.079538,2014-06-13,0.0,2014,0.0,0.0
The Trip to Italy,0,5.61555,2014-04-24,0.0,2014,0.0,0.0
Food,0,0.936181,1993-01-01,0.0,1993,0.0,0.0
For a Woman,0,1.504809,2013-07-03,0.0,2013,0.0,0.0
Earth to Echo,13000000,12.412221,2014-06-14,45300000.0,2014,13.0,45.3
Two Lives,0,2.793306,2012-10-19,0.0,2012,0.0,0.0
Largo Winch II,21169000,6.643015,2011-02-16,0.0,2011,21.17,0.0
Westfront 1918,0,1.059412,1930-05-23,0.0,1930,0.0,0.0
Maidentrip,0,1.549318,2014-01-17,0.0,2014,0.0,0.0
Kidnapped for Christ,0,1.043893,2014-04-09,0.0,2014,0.0,0.0
8-Ball,0,1.108516,2013-02-22,0.0,2013,0.0,0.0
Maata meren alla,0,0.083439,2009-01-23,0.0,2009,0.0,0.0
Step Up All In,45000000,8.588926,2014-07-16,86165646.0,2014,45.0,86.17
The Mystery of the 13th Guest,0,0.306761,1943-11-05,0.0,1943,0.0,0.0
Invasion of the Star Creatures,0,0.419399,1962-05-03,0.0,1962,0.0,0.0
Gog,250000,1.106166,1954-06-04,0.0,1954,0.25,0.0
Video Games: The Movie,0,11.564066,2014-07-18,0.0,2014,0.0,0.0
The Girl Who Talked to Dolphins,0,0.077813,2014-06-17,0.0,2014,0.0,0.0
Val Lewton: The Man in the Shadows,0,0.722011,2007-09-02,0.0,2007,0.0,0.0
Return to Life,0,0.001177,1937-12-31,0.0,1937,0.0,0.0
Sharktopus vs Pteracuda,0,1.887713,2014-08-02,0.0,2014,0.0,0.0
The Key,0,0.184905,1934-06-09,0.0,1934,0.0,0.0
A Day's Pleasure,0,0.331941,1919-12-15,0.0,1919,0.0,0.0
America 3000,2000000,1.354171,1986-04-08,0.0,1986,2.0,0.0
An Eye for an Eye,0,0.01674,1957-09-13,0.0,1957,0.0,0.0
Andy Hardy's Blonde Trouble,0,0.51294,1944-05-04,0.0,1944,0.0,0.0
Sexual Life,0,0.116586,2005-01-05,0.0,2005,0.0,0.0
Life After Beth,2400000,5.486893,2014-08-15,88273.0,2014,2.4,0.09
Lowlands,8500000,0.146824,1954-02-11,0.0,1954,8.5,0.0
Around June,0,0.06636,2011-09-30,0.0,2011,0.0,0.0
C.C. and Company,0,0.350216,1970-10-14,0.0,1970,0.0,0.0
Felony,0,4.273751,2014-08-28,0.0,2014,0.0,0.0
The Rover,12250000,6.561373,2014-05-18,2295423.0,2014,12.25,2.3
Slaying the Badger,0,0.050663,2014-07-22,0.0,2014,0.0,0.0
Shark!,0,0.412384,1969-10-08,0.0,1969,0.0,0.0
The Italian,0,3.157512,2010-07-07,0.0,2010,0.0,0.0
Get on Up,0,7.92736,2014-08-01,31911598.0,2014,0.0,31.91
The Last Mogul,0,0.563171,2005-06-24,0.0,2005,0.0,0.0
1,0,7.732143,2013-09-30,0.0,2013,0.0,0.0
The Suspect,0,2.881797,2013-12-24,0.0,2013,0.0,0.0
Space Milkshake,0,1.737986,2012-10-26,0.0,2012,0.0,0.0
The Dog,0,1.245958,2013-09-07,0.0,2013,0.0,0.0
A Fool There Was,0,0.303639,1915-01-12,0.0,1915,0.0,0.0
Magic in the Moonlight,16800000,6.626077,2014-07-25,51029361.0,2014,16.8,51.03
Impudent Girl,0,1.586668,1985-12-11,0.0,1985,0.0,0.0
Our Fathers,0,0.736094,2005-05-11,0.0,2005,0.0,0.0
Pucked,0,1.637948,2006-01-01,0.0,2006,0.0,0.0
The Thirty Nine Steps,0,6.622148,1978-11-04,0.0,1978,0.0,0.0
Abby,0,0.303398,1974-12-25,0.0,1974,0.0,0.0
And While We Were Here,0,1.797315,2013-09-13,0.0,2013,0.0,0.0
Winter Sleep,0,11.32208,2014-06-13,0.0,2014,0.0,0.0
When I Walk,0,0.266326,2013-01-21,0.0,2013,0.0,0.0
What! No Beer?,0,0.001753,1933-02-10,0.0,1933,0.0,0.0
In Order of Disappearance,4161012,5.480099,2014-02-21,0.0,2014,4.16,0.0
Housebound,0,5.343018,2014-09-04,0.0,2014,0.0,0.0
Zarafa,10750000,0.855606,2012-01-25,0.0,2012,10.75,0.0
Le Nouveau Jean-Claude,0,0.265559,2002-06-26,0.0,2002,0.0,0.0
Screamtime,0,0.038308,1983-01-01,0.0,1983,0.0,0.0
Very Happy Alexander,0,2.779711,1968-02-09,0.0,1968,0.0,0.0
The Hundred-Foot Journey,22000000,14.466789,2014-08-06,88880821.0,2014,22.0,88.88
Batman: Assault on Arkham,0,6.0955,2014-08-12,4571025.0,2014,0.0,4.57
White Frog,0,2.092801,2012-03-07,0.0,2012,0.0,0.0
Where the Trail Ends,0,0.558363,2012-09-19,0.0,2012,0.0,0.0
A Bell for Adano,0,0.411053,1945-06-21,0.0,1945,0.0,0.0
A Lady Without Passport,0,0.753699,1950-08-03,0.0,1950,0.0,0.0
Ambush,0,0.688155,1950-01-13,0.0,1950,0.0,0.0
Ambush,0,0.566999,1973-01-05,0.0,1973,0.0,0.0
R100,5500000,3.401742,2013-10-05,0.0,2013,5.5,0.0
Rituals,0,0.912787,1977-07-21,0.0,1977,0.0,0.0
American Revolutionary: The Evolution of Grace Lee Boggs,0,0.016661,2013-06-16,0.0,2013,0.0,0.0
The Dragon Missile,0,0.52349,1976-04-24,0.0,1976,0.0,0.0
The Fifth Cord,0,0.524639,1971-08-28,0.0,1971,0.0,0.0
The Den,0,7.752544,2013-12-12,0.0,2013,0.0,0.0
Zero Motivation,0,0.99059,2014-06-26,0.0,2014,0.0,0.0
Blade on the Feather,0,0.441143,1980-10-19,0.0,1980,0.0,0.0
Calling Bulldog Drummond,0,0.380778,1951-12-14,0.0,1951,0.0,0.0
Free Samples,0,1.891224,2012-05-20,0.0,2012,0.0,0.0
Quicksand,0,8.878927,2003-01-08,0.0,2003,0.0,0.0
Jupiter Ascending,176000003,21.463465,2015-02-04,183987723.0,2015,176.0,183.99
Teenage Mutant Ninja Turtles,125000000,22.337973,2014-08-07,477200000.0,2014,125.0,477.2
I'll Follow You Down,0,4.968243,2013-07-28,0.0,2013,0.0,0.0
Death in Buenos Aires,500000,1.427255,2014-05-05,0.0,2014,0.5,0.0
Who the F**K Is Arthur Fogel,0,0.071652,2013-03-22,0.0,2013,0.0,0.0
Camouflage,0,0.976349,2001-01-09,0.0,2001,0.0,0.0
Rob the Mob,0,7.731183,2014-03-21,206909.0,2014,0.0,0.21
The Hero,0,0.517052,1966-05-06,0.0,1966,0.0,0.0
The Old Lady and the Pigeons,0,1.314881,1997-06-02,0.0,1997,0.0,0.0
The Reckoning,0,6.489398,2014-08-06,0.0,2014,0.0,0.0
The Giver,25000000,12.472206,2014-08-11,66980456.0,2014,25.0,66.98
Only God Knows,0,0.684859,2006-01-20,0.0,2006,0.0,0.0
The Pretty One,0,9.197511,2014-02-07,13769.0,2014,0.0,0.01
Revenge of the Green Dragons,5000000,2.820466,2014-03-15,0.0,2014,5.0,0.0
Unborn in the USA: Inside the War on Abortion,0,0.041153,2007-06-15,0.0,2007,0.0,0.0
Mr. Wong in Chinatown,0,0.165704,1939-08-01,0.0,1939,0.0,0.0
Maniacts,0,0.357354,2001-12-06,0.0,2001,0.0,0.0
Cane Toads: The Conquest,0,0.295907,2010-01-26,0.0,2010,0.0,0.0
So Much So Fast,0,0.074118,2006-10-09,0.0,2006,0.0,0.0
What About Dick?,0,0.912708,2012-11-13,0.0,2012,0.0,0.0
Crossroads,0,0.256422,1942-07-23,0.0,1942,0.0,0.0
Rendezvous,0,0.147055,1935-10-25,0.0,1935,0.0,0.0
Let's Be Cops,17000000,15.962793,2014-08-13,136621271.0,2014,17.0,136.62
Can I Do It Till I Need Glasses?,0,0.831305,1977-08-01,0.0,1977,0.0,0.0
Paradise,0,4.328691,2013-10-18,0.0,2013,0.0,0.0
My way to Olympia,0,0.047085,2013-10-17,0.0,2013,0.0,0.0
Far Out Isn't Far Enough: The Tomi Ungerer Story,0,0.137666,2012-10-15,0.0,2012,0.0,0.0
D-Day The Sixth of June,0,1.015895,1956-05-29,0.0,1956,0.0,0.0
Direct from Brooklyn,0,0.001651,1999-01-01,0.0,1999,0.0,0.0
The Autobiography of Miss Jane Pittman,0,0.617547,1974-01-01,0.0,1974,0.0,0.0
The Strangler,0,0.09055,1964-04-01,0.0,1964,0.0,0.0
You and Me,0,0.112462,1971-10-25,0.0,1971,0.0,0.0
Alexander: The Neva Battle,0,1.524195,2008-05-01,0.0,2008,0.0,0.0
An Act of Murder,0,0.403008,1948-12-05,0.0,1948,0.0,0.0
Antboy,0,6.383492,2013-09-07,0.0,2013,0.0,0.0
Antboy: Revenge of the Red Fury,0,1.734211,2014-12-25,0.0,2014,0.0,0.0
Appleseed Alpha,0,3.770032,2014-05-28,0.0,2014,0.0,0.0
Generation Um...,0,3.137385,2012-07-11,0.0,2012,0.0,0.0
Carry On... Up the Khyber,0,4.799837,1968-11-28,0.0,1968,0.0,0.0
The Wise Guys,0,0.825397,1965-10-22,0.0,1965,0.0,0.0
Switch,0,9.509765,2011-06-04,0.0,2011,0.0,0.0
Six Days in June,0,0.00876,2007-05-18,0.0,2007,0.0,0.0
Snake River Desperadoes,0,0.332574,1951-05-30,0.0,1951,0.0,0.0
Bad Johnson,0,2.53601,2014-05-02,0.0,2014,0.0,0.0
Campus Rhythm,0,0.602071,1943-11-19,0.0,1943,0.0,0.0
Captain Blood,0,1.280777,1960-10-05,0.0,1960,0.0,0.0
The Inbetweeners 2,0,6.3567,2014-08-06,0.0,2014,0.0,0.0
Jesse Stone: Thin Ice,0,3.30642,2009-03-01,0.0,2009,0.0,0.0
State Affairs,0,1.16594,2009-11-25,0.0,2009,0.0,0.0
The First Man,0,0.345772,2011-09-09,0.0,2011,0.0,0.0
Sarraounia,0,0.889029,1986-07-01,0.0,1986,0.0,0.0
Buud Yam,0,0.109074,1997-09-10,0.0,1997,0.0,0.0
Captain Nemo and the Underwater City,0,1.167913,1969-12-19,0.0,1969,0.0,0.0
Breaking Point,0,0.047467,1976-06-02,0.0,1976,0.0,0.0
My Summer Story,0,1.073743,1994-09-23,70.0,1994,0.0,0.0
Age of Tomorrow,0,4.909894,2014-06-10,0.0,2014,0.0,0.0
Osaka Elegy,0,0.648007,1936-05-28,0.0,1936,0.0,0.0
The Wild Party,0,0.163675,1975-03-01,0.0,1975,0.0,0.0
The Phantom Stagecoach,0,0.094121,1957-03-31,0.0,1957,0.0,0.0
The Sacrament,4000000,5.350658,2013-09-02,9221.0,2013,4.0,0.01
Make Your Move,15,6.792607,2013-08-07,122.0,2013,0.0,0.0
Sin City: A Dame to Kill For,65000000,20.623642,2014-08-20,39407616.0,2014,65.0,39.41
Authors Anonymous,0,8.936308,2014-04-18,0.0,2014,0.0,0.0
The Last Blitzkrieg,0,0.636188,1959-01-01,0.0,1959,0.0,0.0
How to Be a Man,0,1.393318,2013-08-10,0.0,2013,0.0,0.0
Fingers at the Window,0,0.260309,1942-04-22,0.0,1942,0.0,0.0
If I Stay,11000000,9.659244,2014-08-21,78874843.0,2014,11.0,78.87
WWE: The Rise & Fall of ECW,0,0.321089,2004-11-16,0.0,2004,0.0,0.0
A Circle of Deception,0,0.005029,1960-11-01,0.0,1960,0.0,0.0
The Message,0,0.000308,1976-03-09,0.0,1976,0.0,0.0
All the Way Home,0,1.406094,1963-10-17,0.0,1963,0.0,0.0
All the Way Home,0,0.255935,1981-12-21,0.0,1981,0.0,0.0
The Man Who Couldn't Say No,0,0.000578,1975-11-21,0.0,1975,0.0,0.0
The Other F Word,0,1.083836,2011-11-02,0.0,2011,0.0,0.0
