Nome;Gênero;Cor_dos_olhos;Raça;Cor_do_cabelo;Altura_cm;Editora;Cor_da_pele;Alinhamento;Peso_kg;Altura_m;IMC
Captain Planet;Masculino;red;God / Eternal;Green;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
She-Hulk;Feminino;green;Human;Green;201.0;Marvel Comics;unknown;bom;315.0;2.01;77.96836711962577
Doc Samson;Masculino;blue;Human / Radiation;Green;198.0;Marvel Comics;unknown;bom;171.0;1.98;43.61799816345271
Polaris;Feminino;green;Mutant;Green;170.0;Marvel Comics;unknown;bom;52.0;1.7;17.99307958477509
Lyja;Feminino;green;unknown;Green;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Brother Voodoo;Masculino;brown;Human;Brown / White;183.0;Marvel Comics;unknown;bom;99.0;1.83;29.56194571351787
Nick Fury;Masculino;brown;Human;Brown / White;185.0;Marvel Comics;unknown;bom;99.0;1.85;28.926223520818112
Rogue;Feminino;green;unknown;Brown / White;173.0;Marvel Comics;unknown;bom;54.0;1.73;18.042701059173375
Box IV;Desconhecido;brown;unknown;Brown / Black;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Rocket Raccoon;Masculino;brown;Animal;Brown;122.0;Marvel Comics;unknown;bom;25.0;1.22;16.79656006449879
Scarlet Spider II;Masculino;brown;Clone;Brown;193.0;Marvel Comics;unknown;bom;113.0;1.93;30.336384869392468
Hercules;Masculino;blue;DemiGod;Brown;196.0;Marvel Comics;unknown;bom;146.0;1.96;38.00499791753436
Spider-Man;Desconhecido;red;Human;Brown;178.0;Marvel Comics;unknown;bom;77.0;1.78;24.302487059714682
Justice;Masculino;hazel;Human;Brown;178.0;Marvel Comics;unknown;bom;81.0;1.78;25.5649539199596
Moon Knight;Masculino;brown;Human;Brown;188.0;Marvel Comics;unknown;bom;101.0;1.88;28.576278859212316
Winter Soldier;Masculino;brown;Human;Brown;175.0;Marvel Comics;unknown;bom;117.0;1.75;38.204081632653065
Agent Bob;Masculino;brown;Human;Brown;178.0;Marvel Comics;unknown;bom;81.0;1.78;25.5649539199596
Darkhawk;Masculino;brown;Human;Brown;185.0;Marvel Comics;unknown;bom;81.0;1.85;23.66691015339664
Black Knight III;Masculino;brown;Human;Brown;183.0;Marvel Comics;unknown;bom;86.0;1.83;25.680074054167036
War Machine;Masculino;brown;Human;Brown;185.0;Marvel Comics;unknown;bom;95.0;1.85;27.757487216946675
Jessica Jones;Feminino;brown;Human;Brown;170.0;Marvel Comics;unknown;bom;56.0;1.7;19.377162629757787
Jack of Hearts;Masculino;blue / white;Human;Brown;155.0;Marvel Comics;unknown;bom;79.0;1.55;32.882414151925076
Gravity;Masculino;blue;Human;Brown;178.0;Marvel Comics;unknown;bom;79.0;1.78;24.933720489837143
Spider-Girl;Feminino;blue;Human;Brown;170.0;Marvel Comics;unknown;bom;54.0;1.7;18.68512110726644
Mister Fantastic;Masculino;brown;Human / Radiation;Brown;185.0;Marvel Comics;unknown;bom;81.0;1.85;23.66691015339664
Gambit;Masculino;red;Mutant;Brown;185.0;Marvel Comics;unknown;bom;81.0;1.85;23.66691015339664
Shadowcat;Feminino;hazel;Mutant;Brown;168.0;Marvel Comics;unknown;bom;50.0;1.68;17.71541950113379
Chamber;Masculino;brown;Mutant;Brown;175.0;Marvel Comics;unknown;bom;63.0;1.75;20.571428571428573
Iceman;Masculino;brown;Mutant;Brown;173.0;Marvel Comics;unknown;bom;65.0;1.73;21.71806608974573
Cyclops;Masculino;brown;Mutant;Brown;191.0;Marvel Comics;unknown;bom;88.0;1.91;24.12214577451276
Toxin;Masculino;blue;Symbiote;Brown;188.0;Marvel Comics;unknown;bom;97.0;1.88;27.44454504300589
Green Goblin IV;Masculino;green;unknown;Brown;178.0;Marvel Comics;unknown;bom;79.0;1.78;24.933720489837143
Mimic;Masculino;brown;unknown;Brown;188.0;Marvel Comics;unknown;bom;101.0;1.88;28.576278859212316
Ares;Masculino;brown;unknown;Brown;185.0;Marvel Comics;unknown;bom;270.0;1.85;78.88970051132213
Quill;Masculino;brown;unknown;Brown;163.0;Marvel Comics;unknown;bom;56.0;1.63;21.077195227520797
Corsair;Masculino;brown;unknown;Brown;191.0;Marvel Comics;unknown;bom;79.0;1.91;21.655108138483047
Spider-Woman III;Feminino;brown;unknown;Brown;173.0;Marvel Comics;unknown;bom;55.0;1.73;18.376825152861773
Cecilia Reyes;Desconhecido;brown;unknown;Brown;170.0;Marvel Comics;unknown;bom;62.0;1.7;21.453287197231838
X-Man;Masculino;blue;unknown;Brown;175.0;Marvel Comics;unknown;bom;61.0;1.75;19.918367346938776
Multiple Man;Masculino;blue;unknown;Brown;180.0;Marvel Comics;unknown;bom;70.0;1.8;21.604938271604937
Thor;Masculino;blue;Asgardian;Blond;198.0;Marvel Comics;unknown;bom;288.0;1.98;73.46189164370983
Thor Girl;Feminino;blue;Asgardian;Blond;175.0;Marvel Comics;unknown;bom;143.0;1.75;46.69387755102041
Black Cat;Feminino;green;Human;Blond;178.0;Marvel Comics;unknown;bom;54.0;1.78;17.043302613306402
Hawkeye;Masculino;blue;Human;Blond;191.0;Marvel Comics;unknown;bom;104.0;1.91;28.50799046078781
Ronin;Masculino;blue;Human;Blond;191.0;Marvel Comics;unknown;bom;104.0;1.91;28.50799046078781
Captain America;Masculino;blue;Human;blond;188.0;Marvel Comics;unknown;bom;108.0;1.88;30.556813037573566
Captain Britain;Masculino;blue;Human;Blond;198.0;Marvel Comics;unknown;bom;116.0;1.98;29.58881746760535
Ant-Man;Masculino;blue;Human;Blond;211.0;Marvel Comics;unknown;bom;122.0;2.11;27.40279867927495
Longshot;Masculino;blue;Human;Blond;188.0;Marvel Comics;unknown;bom;36.0;1.88;10.185604345857856
Scarlet Spider;Masculino;blue;Human;Blond;178.0;Marvel Comics;unknown;bom;74.0;1.78;23.355636914530994
Iron Fist;Masculino;blue;Human;Blond;180.0;Marvel Comics;unknown;bom;79.0;1.8;24.382716049382715
Yellowjacket;Masculino;blue;Human;Blond;183.0;Marvel Comics;unknown;bom;83.0;1.83;24.78425751739377
Ant-Man II;Masculino;blue;Human;Blond;183.0;Marvel Comics;unknown;bom;86.0;1.83;25.680074054167036
Spider-Gwen;Feminino;blue;Human;Blond;165.0;Marvel Comics;unknown;bom;56.0;1.65;20.569329660238754
Mockingbird;Feminino;blue;Human;Blond;175.0;Marvel Comics;unknown;bom;61.0;1.75;19.918367346938776
Arachne;Feminino;blue;Human;Blond;175.0;Marvel Comics;unknown;bom;63.0;1.75;20.571428571428573
Human Torch;Masculino;blue;Human / Radiation;Blond;178.0;Marvel Comics;unknown;bom;77.0;1.78;24.302487059714682
Invisible Woman;Feminino;blue;Human / Radiation;Blond;168.0;Marvel Comics;unknown;bom;54.0;1.68;19.13265306122449
Star-Lord;Masculino;blue;HumanSpartoi;Blond;188.0;Marvel Comics;unknown;bom;79.0;1.88;22.351742870076958
Spyke;Masculino;brown;Mutant;Blond;183.0;Marvel Comics;unknown;bom;83.0;1.83;24.78425751739377
Darkstar;Feminino;brown;Mutant;Blond;168.0;Marvel Comics;unknown;bom;56.0;1.68;19.841269841269845
Franklin Richards;Masculino;blue;Mutant;Blond;142.0;Marvel Comics;unknown;bom;45.0;1.42;22.317000595120017
Mr Immortal;Masculino;blue;Mutant;Blond;188.0;Marvel Comics;unknown;bom;70.0;1.88;19.805341783612494
Havok;Masculino;blue;Mutant;Blond;183.0;Marvel Comics;unknown;bom;79.0;1.83;23.589835468362743
Dazzler;Feminino;blue;Mutant;Blond;173.0;Marvel Comics;unknown;bom;52.0;1.73;17.374452871796585
Boom-Boom;Feminino;blue;Mutant;Blond;165.0;Marvel Comics;unknown;bom;55.0;1.65;20.202020202020204
Husk;Feminino;blue;Mutant;Blond;170.0;Marvel Comics;unknown;bom;58.0;1.7;20.06920415224914
Snowbird;Feminino;white;unknown;Blond;178.0;Marvel Comics;unknown;bom;49.0;1.78;15.465219038000251
Warlock;Masculino;red;unknown;Blond;188.0;Marvel Comics;unknown;bom;108.0;1.88;30.556813037573566
Captain Mar-vell;Masculino;blue;unknown;Blond;188.0;Marvel Comics;unknown;bom;108.0;1.88;30.556813037573566
Thunderstrike;Masculino;blue;unknown;Blond;198.0;Marvel Comics;unknown;bom;288.0;1.98;73.46189164370983
Cannonball;Masculino;blue;unknown;Blond;183.0;Marvel Comics;unknown;bom;81.0;1.83;24.187046492878256
Genesis;Masculino;blue;unknown;Blond;185.0;Marvel Comics;unknown;bom;86.0;1.85;25.127830533235937
Penance II;Masculino;blue;unknown;Blond;183.0;Marvel Comics;unknown;bom;89.0;1.83;26.575890590940304
Namorita;Feminino;blue;unknown;Blond;168.0;Marvel Comics;unknown;bom;101.0;1.68;35.785147392290256
Ultragirl;Feminino;blue;unknown;Blond;168.0;Marvel Comics;unknown;bom;105.0;1.68;37.202380952380956
Valkyrie;Feminino;blue;unknown;Blond;191.0;Marvel Comics;unknown;bom;214.0;1.91;58.66067267892876
Dagger;Feminino;blue;unknown;Blond;165.0;Marvel Comics;unknown;bom;52.0;1.65;19.100091827364558
Meltdown;Feminino;blue;unknown;Blond;165.0;Marvel Comics;unknown;bom;54.0;1.65;19.834710743801654
Binary;Feminino;blue;unknown;Blond;180.0;Marvel Comics;unknown;bom;54.0;1.8;16.666666666666664
Warbird;Feminino;blue;unknown;Blond;180.0;Marvel Comics;unknown;bom;54.0;1.8;16.666666666666664
Jennifer Kale;Feminino;blue;unknown;Blond;168.0;Marvel Comics;unknown;bom;55.0;1.68;19.48696145124717
Black Widow II;Feminino;blue;unknown;Blond;170.0;Marvel Comics;unknown;bom;61.0;1.7;21.107266435986162
Agent 13;Feminino;blue;unknown;Blond;173.0;Marvel Comics;unknown;bom;61.0;1.73;20.381569714992146
Cat;Feminino;blue;unknown;Blond;173.0;Marvel Comics;unknown;bom;61.0;1.73;20.381569714992146
Emma Frost;Feminino;blue;unknown;Blond;178.0;Marvel Comics;unknown;bom;65.0;1.78;20.515086478979924
White Queen;Feminino;blue;unknown;Blond;178.0;Marvel Comics;unknown;bom;65.0;1.78;20.515086478979924
Namora;Feminino;blue;unknown;Blond;180.0;Marvel Comics;unknown;bom;85.0;1.8;26.234567901234566
Box III;Desconhecido;blue;unknown;Blond;193.0;Marvel Comics;unknown;bom;110.0;1.93;29.530994120647534
Cypher;Desconhecido;blue;unknown;Blond;175.0;Marvel Comics;unknown;bom;68.0;1.75;22.20408163265306
Sif;Feminino;blue;Asgardian;Black;188.0;Marvel Comics;unknown;bom;191.0;1.88;54.04028972385695
Namor;Masculino;grey;Atlantean;Black;188.0;Marvel Comics;unknown;bom;125.0;1.88;35.36668175645089
Doctor Strange;Masculino;grey;Human;Black;188.0;Marvel Comics;unknown;bom;81.0;1.88;22.917609778180175
Spider-Woman;Feminino;green;Human;Black;178.0;Marvel Comics;unknown;bom;59.0;1.78;18.621386188612547
Guardian;Masculino;brown;Human;Black;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Falcon;Masculino;brown;Human;Black;188.0;Marvel Comics;unknown;bom;108.0;1.88;30.556813037573566
Luke Cage;Masculino;brown;Human;Black;198.0;Marvel Comics;unknown;bom;191.0;1.98;48.719518416488114
Shang-Chi;Masculino;brown;Human;Black;178.0;Marvel Comics;unknown;bom;79.0;1.78;24.933720489837143
Black Panther;Masculino;brown;Human;Black;183.0;Marvel Comics;unknown;bom;90.0;1.83;26.874496103198062
Silk;Feminino;brown;Human;Black;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Iron Man;Masculino;blue;Human;Black;198.0;Marvel Comics;unknown;bom;191.0;1.98;48.719518416488114
Punisher;Masculino;blue;Human;Black;183.0;Marvel Comics;unknown;bom;90.0;1.83;26.874496103198062
Hawkeye II;Feminino;blue;Human;Black;165.0;Marvel Comics;unknown;bom;57.0;1.65;20.936639118457304
Elektra;Feminino;blue;Human;Black;175.0;Marvel Comics;unknown;bom;59.0;1.75;19.26530612244898
Black Bolt;Masculino;blue;Inhuman;Black;188.0;Marvel Comics;unknown;bom;95.0;1.88;26.87867813490267
Angel Dust;Feminino;yellow;Mutant;Black;165.0;Marvel Comics;unknown;bom;57.0;1.65;20.936639118457304
Colossus;Masculino;silver;Mutant;Black;226.0;Marvel Comics;unknown;bom;225.0;2.26;44.05200093977603
Jubilee;Feminino;red;Mutant;Black;165.0;Marvel Comics;unknown;bom;52.0;1.65;19.100091827364558
Legion;Masculino;green / blue;Mutant;Black;175.0;Marvel Comics;unknown;bom;59.0;1.75;19.26530612244898
Warpath;Masculino;brown;Mutant;Black;218.0;Marvel Comics;unknown;bom;158.0;2.18;33.24635973402912
Sunspot;Masculino;brown;Mutant;black;173.0;Marvel Comics;unknown;bom;77.0;1.73;25.727555214006482
Wolverine;Masculino;blue;Mutant;Black;160.0;Marvel Comics;unknown;bom;135.0;1.6;52.73437499999999
Aurora;Feminino;blue;Mutant;Black;180.0;Marvel Comics;unknown;bom;63.0;1.8;19.444444444444443
Negasonic Teenage Warhead;Feminino;black;Mutant;Black;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
X-23;Feminino;green;Mutant / Clone;Black;155.0;Marvel Comics;unknown;bom;50.0;1.55;20.811654526534856
Hybrid;Masculino;brown;Symbiote;Black;175.0;Marvel Comics;unknown;bom;77.0;1.75;25.142857142857142
Blade;Masculino;brown;Vampire;Black;188.0;Marvel Comics;unknown;bom;97.0;1.88;27.44454504300589
Shriek;Feminino;yellow / blue;unknown;Black;173.0;Marvel Comics;unknown;bom;52.0;1.73;17.374452871796585
Wonder Man;Masculino;red;unknown;Black;188.0;Marvel Comics;unknown;bom;171.0;1.88;48.381620642824814
Machine Man;Desconhecido;red;unknown;Black;183.0;Marvel Comics;unknown;bom;383.0;1.83;114.36591119472064
Skaar;Masculino;green;unknown;Black;198.0;Marvel Comics;unknown;bom;180.0;1.98;45.91368227731864
Ripcord;Feminino;green;unknown;Black;180.0;Marvel Comics;unknown;bom;72.0;1.8;22.22222222222222
Thunderbird;Masculino;brown;unknown;Black;185.0;Marvel Comics;unknown;bom;101.0;1.85;29.510591672753833
Wyatt Wingfoot;Masculino;brown;unknown;Black;196.0;Marvel Comics;unknown;bom;117.0;1.96;30.456059975010415
Battlestar;Masculino;brown;unknown;Black;198.0;Marvel Comics;unknown;bom;133.0;1.98;33.92510968268544
Bantam;Masculino;brown;unknown;Black;165.0;Marvel Comics;unknown;bom;54.0;1.65;19.834710743801654
Cloak;Masculino;brown;unknown;black;226.0;Marvel Comics;unknown;bom;70.0;2.26;13.705066959041432
Thunderbird III;Masculino;brown;unknown;Black;175.0;Marvel Comics;unknown;bom;74.0;1.75;24.163265306122447
Synch;Masculino;brown;unknown;Black;180.0;Marvel Comics;unknown;bom;74.0;1.8;22.839506172839506
John Wraith;Masculino;brown;unknown;Black;183.0;Marvel Comics;unknown;bom;88.0;1.83;26.27728507868255
Goliath IV;Masculino;brown;unknown;Black;183.0;Marvel Comics;unknown;bom;90.0;1.83;26.874496103198062
Silverclaw;Feminino;brown;unknown;Black;157.0;Marvel Comics;unknown;bom;50.0;1.57;20.28479857195018
Angel Salvadore;Feminino;brown;unknown;Black;163.0;Marvel Comics;unknown;bom;54.0;1.63;20.32443825510934
Tempest;Feminino;brown;unknown;Black;163.0;Marvel Comics;unknown;bom;54.0;1.63;20.32443825510934
Firebird;Feminino;brown;unknown;Black;165.0;Marvel Comics;unknown;bom;56.0;1.65;20.569329660238754
Wiz Kid;Desconhecido;brown;unknown;Black;140.0;Marvel Comics;unknown;bom;39.0;1.4;19.89795918367347
Forge;Desconhecido;brown;unknown;Black;183.0;Marvel Comics;unknown;bom;81.0;1.83;24.187046492878256
Maverick;Masculino;blue;unknown;Black;193.0;Marvel Comics;unknown;bom;110.0;1.93;29.530994120647534
Northstar;Masculino;blue;unknown;Black;180.0;Marvel Comics;unknown;bom;83.0;1.8;25.61728395061728
Jolt;Feminino;blue;unknown;Black;165.0;Marvel Comics;unknown;bom;49.0;1.65;17.99816345270891
Sage;Feminino;blue;unknown;Black;170.0;Marvel Comics;unknown;bom;61.0;1.7;21.107266435986162
Vulcan;Masculino;black;unknown;Black;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Armor;Feminino;black;unknown;Black;163.0;Marvel Comics;unknown;bom;50.0;1.63;18.818924310286427
Black Widow;Feminino;green;Human;Auburn;170.0;Marvel Comics;unknown;bom;59.0;1.7;20.41522491349481
Wasp;Feminino;blue;Human;Auburn;163.0;Marvel Comics;unknown;bom;50.0;1.63;18.818924310286427
Wolfsbane;Feminino;green;unknown;Auburn;366.0;Marvel Comics;unknown;bom;473.0;3.66;35.31010182447967
Tigra;Feminino;green;unknown;Auburn;178.0;Marvel Comics;unknown;bom;81.0;1.78;25.5649539199596
Man-Wolf;Masculino;brown;unknown;Auburn;188.0;Marvel Comics;unknown;bom;90.0;1.88;25.46401086464464
Groot;Masculino;yellow;Flora Colossus;unknown;701.0;Marvel Comics;unknown;bom;4.0;7.01;0.08139991575108721
Beyonder;Masculino;unknown;God / Eternal;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Captain Universe;Desconhecido;unknown;God / Eternal;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Giant-Man;Masculino;unknown;Human;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Goliath;Masculino;unknown;Human;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Luna;Feminino;unknown;Human;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Power Man;Masculino;unknown;Mutant;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Cerebra;Feminino;unknown;Mutant;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Shadow King;Desconhecido;red;unknown;unknown;185.0;Marvel Comics;unknown;bom;149.0;1.85;43.5354273192111
Black Goliath;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Bolt;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Box;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Bumbleboy;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Giant-Man II;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Leech;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Speedball;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Stardust;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Thunderbird II;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Watcher;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Agent Zero;Masculino;unknown;unknown;unknown;191.0;Marvel Comics;unknown;bom;104.0;1.91;28.50799046078781
Green Goblin III;Masculino;unknown;unknown;unknown;183.0;Marvel Comics;unknown;bom;88.0;1.83;26.27728507868255
Boomer;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Cat II;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Meteorite;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Penance I;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Spider-Woman II;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Stacy X;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Wondra;Feminino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Bling!;Feminino;unknown;unknown;unknown;168.0;Marvel Comics;unknown;bom;68.0;1.68;24.092970521541954
Bird-Brain;Desconhecido;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Ghost Rider II;Desconhecido;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Penance;Desconhecido;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Master Chief;Masculino;brown;Human / Altered;Brown;213.0;Microsoft;unknown;bom;112.25252525252525;2.13;24.742120225820553
Adam Monroe;Masculino;blue;unknown;Blond;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Claire Bennet;Feminino;blue;unknown;Blond;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Niki Sanders;Feminino;blue;unknown;Blond;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Micah Sanders;Masculino;brown;unknown;Black;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Nathan Petrelli;Masculino;brown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Alex Woolsly;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Ando Masahashi;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
DL Hawkins;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Hiro Nakamura;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Matt Parkman;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Mohinder Suresh;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Peter Petrelli;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Jessica Sanders;Feminino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Maya Herrera;Feminino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Monica Dawson;Feminino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Tracy Strauss;Feminino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Judge Dredd;Masculino;unknown;Human;unknown;188.0;Rebellion;unknown;bom;112.25252525252525;1.88;31.759994695712216
One Punch Man;Masculino;unknown;Human;No Hair;175.0;Shueisha;unknown;bom;69.0;1.75;22.53061224489796
Naruto Uzumaki;Masculino;unknown;Human;unknown;168.0;Shueisha;unknown;bom;54.0;1.68;19.13265306122449
Goku;Masculino;unknown;Saiyan;unknown;175.0;Shueisha;unknown;bom;62.0;1.75;20.244897959183675
Hancock;Masculino;brown;Human;Black;188.0;Sony Pictures;unknown;bom;112.25252525252525;1.88;31.759994695712216
Paul Blart;Masculino;unknown;Human;unknown;170.0;Sony Pictures;unknown;bom;117.0;1.7;40.484429065743946
Captain Hindsight;Masculino;unknown;Human;Black;186.72630560928434;South Park;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Data;Masculino;yellow;Android;Brown;186.72630560928434;Star Trek;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
James T. Kirk;Masculino;hazel;Human;Brown;178.0;Star Trek;unknown;bom;77.0;1.78;24.302487059714682
Spock;Masculino;brown;HumanVulcan;Black;185.0;Star Trek;unknown;bom;81.0;1.85;23.66691015339664
Jean-Luc Picard;Masculino;unknown;Human;unknown;186.72630560928434;Star Trek;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Kathryn Janeway;Feminino;unknown;Human;unknown;186.72630560928434;Star Trek;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Bill Harken;Masculino;unknown;Alpha;unknown;186.72630560928434;SyFy;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Cameron Hicks;Masculino;unknown;Alpha;unknown;186.72630560928434;SyFy;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Gary Bell;Masculino;unknown;Alpha;unknown;186.72630560928434;SyFy;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Nina Theroux;Feminino;unknown;Alpha;unknown;186.72630560928434;SyFy;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Rachel Pirzad;Feminino;unknown;Alpha;unknown;186.72630560928434;SyFy;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Captain Epic;Masculino;blue;unknown;Brown;188.0;Team Epic TV;unknown;bom;112.25252525252525;1.88;31.759994695712216
Valerie Hart;Feminino;hazel;unknown;Black;175.0;Team Epic TV;unknown;bom;56.0;1.75;18.285714285714285
Omniscient;Masculino;brown;unknown;Black;180.0;Team Epic TV;unknown;bom;65.0;1.8;20.061728395061728
Master Brood;Masculino;blue;unknown;Black;183.0;Team Epic TV;unknown;bom;81.0;1.83;24.187046492878256
James Bond;Masculino;blue;Human;Blond;183.0;Titan Books;unknown;bom;112.25252525252525;1.83;33.519222805257016
Darkman;Masculino;unknown;unknown;unknown;186.72630560928434;Universal Studios;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Allan Quatermain;Masculino;unknown;unknown;unknown;186.72630560928434;Wildstorm;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Minna Murray;Feminino;unknown;unknown;unknown;186.72630560928434;Wildstorm;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Ethan Hunt;Masculino;brown;Human;Brown;168.0;unknown;unknown;bom;112.25252525252525;1.68;39.77201149820198
King Kong;Masculino;yellow;Animal;Black;30.5;unknown;unknown;bom;112.25252525252525;0.305;1206.6920209892528
Bionic Woman;Feminino;blue;Cyborg;Black;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Rambo;Masculino;brown;Human;Black;178.0;unknown;unknown;bom;83.0;1.78;26.19618735008206
Astro Boy;Masculino;brown;unknown;Black;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
